"1044","125667332931596290","2011-10-16 20:20:01","&quot;3 principal global players will be active in every market...@Amazon, @Apple, &amp; @Kobo.&quot; #fbf11 #publaunch @MikeShatzkin http://t.co/1ndxcMO1","neutral","apple"
"71","126384526925639681","2011-10-18 19:49:53","If you've been struggling to get hold of me, I'm back online with a new iPhone - thanks @apple","neutral","apple"
"278","126281019476291585","2011-10-18 12:58:35","@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.","negative","apple"
"5743","126862268725080065","2011-10-20 03:28:16","me acabo de dar cuenta q tengo mas seguidores en #Twitter :D gracias y espero q sigan sumandoo mas y mas :D para seguir aun mas activo aki","irrelevant","twitter"
"510","126054725727698944","2011-10-17 21:59:23","With Siri, Apple Could Eventually Build A Real AI http://t.co/UepsC3Sw  + @Apple #Apple #Siri","neutral","apple"
"2609","126493101807239168","2011-10-19 03:01:20","All this talk about about how good #icecreamsandwich looks is making me hungry #google #omnomnomnom","positive","google"
"2377","126498584110710784","2011-10-19 03:23:07","#GalaxyNexus es presentado oficialmente. http://t.co/dwUWIYWC | Conoce los detalles del nuevo telÃ©fono de #Google","irrelevant","google"
"5234","126870454299398144","2011-10-20 04:00:48","RT @JonJars: #twitter; for those statuses you'd never post on #facebook","neutral","twitter"
"5911","126859326294999041","2011-10-20 03:16:34","ONE SERIOUS STATEMENT THO !  #Twitter BLOCKED the #Troy Davis #TT  #Twitter was COOL w #AmberCole  in my opinion .... BULLSHIT .","neutral","twitter"
"3643","126690582893572096","2011-10-19 16:06:03","#Microsoft ofrece un sistema de #codificaciÃ³n #MicrosoftTag http://t.co/jojh48Lg","irrelevant","microsoft"
"2090","126510393114898432","2011-10-19 04:10:02","Galaxy Nexus #GalaxyNexus #Android #Google http://t.co/AWJHxwGT #followme","neutral","google"
"2357","126499194247725056","2011-10-19 03:25:32","ICS plutÃ´t bien dans l'ensemble, perso j'aime beaucoup l'interface des contact // epic fail reconnaissance faciale ! #google #android","irrelevant","google"
"1469","125238977417580544","2011-10-15 15:57:53","Wow I am loving this new @apple update for my touch. #coolness Well done","positive","apple"
"868","125823389804929024","2011-10-17 06:40:08","@apple stuck it to @amazon when it unveiled iCloud, showing that the placement of 'i' before the name of even a failed effort yields success","neutral","apple"
"2466","126495739663757313","2011-10-19 03:11:49","i-nexus Named as One of The Telegraph's Top 1000 - Free PR Site (press release) http://t.co/J4AHo3Aa #nexus #one #google","irrelevant","google"
